"Refid","Author","Title","Year","User","Level","Subsection Title","Experimental outcome addressed in experiment/assay.","Is the experiment/assay of sufficient quality?","If “No”; Which domain(s) of study quality failed? -> Outcome Assessment/Evaluation","If “No”; Which domain(s) of study quality failed? -> Statistical Methodology","Rationale for study quality judgement.","Animal Type -> Mouse","Animal Type -> Rat","Rat -> Sprague Dawley","Rat -> Wistar","Mouse -> C57BJ","Mouse -> C57BL/6","Mouse -> ICR","Mouse -> CD-1(ICR) BR","Groups, Sex, and Number of Animals Reported","Form of Pb","Exposure Route -> Oral, drinking water","Exposure Route -> Oral, gavage","Exposure Route -> Inhalation","Is this a developmental exposure?","What stage of development was assessed? Select all that apply. -> Postnatal","What stage of development was assessed? Select all that apply. -> Juvenile/Adolescent","Start and end day of exposure","Exposure Duration -> Short-Term (less than or equal to 30 days)","Exposure Duration -> Short-Term (less than or equal to 30 days) (COMMENT)","Exposure Duration -> Long-Term (greater than 30 days)","Exposure Duration -> Long-Term (greater than 30 days) (COMMENT)","Exposure Design Notes","Time of Outcome Assessment
Report day(s) outcome was assessed (e.g., PND 21, 28, 35).","Blood Lead Level - Reported Units","Blood Lead Level- Converted to ug/dL","Does this study involve an at-risk population?","Additional Notes"
6682480,"Dumková, J., Smutná, T., Vrlíková, L., Le Coustumer, P., Večeřa, Z., Dočekal, B., Mikuška, P., Čapka, L., Fictum, P., Hampl, A., Buchtová, M.","Sub-chronic inhalation of lead oxide nanoparticles revealed their broad distribution and tissue-specific subcellular localization in target organs",2017,Lehmann.David@epa.gov,2,"Immune Organ Weight","Spleen weight",Yes,,,,Mouse,,,,,,ICR,,"Control (vehicle), F, n = 10
1.23 x 10^6 particles/cm^3 Pb, F, n = 10","Pb oxide nano particles",,,Inhalation,"No, adult only",,,NR,,,"Long-Term (greater than 30 days)",42,"Mice were exposed continuously (24h/d, 7d/wk) for 6 weeks.

Control animals were exposed to the same air as the treated group without the addition of Pb nanoparticles. 

The investigators pooled animals from two independent experiments, each with 5 animals per treatment.","6 weeks","11 ng/g for 0 x 10^6 particles/cm^3 Pb, 132 ng/g for 1.23 x 10^6 particles/cm^3 Pb","1.166 ug/dL for 0 x 10^6 particles/cm^3 Pb, 13.992 ug/dL for 1.23 x 10^6 particles/cm^3 Pb",No,"The number of animals used in the spleen weight assessment was not reported."
6682480,"Dumková, J., Smutná, T., Vrlíková, L., Le Coustumer, P., Večeřa, Z., Dočekal, B., Mikuška, P., Čapka, L., Fictum, P., Hampl, A., Buchtová, M.","Sub-chronic inhalation of lead oxide nanoparticles revealed their broad distribution and tissue-specific subcellular localization in target organs",2017,Lehmann.David@epa.gov,2,"Immune Organ Pathology ","Spleen histopathology",Yes,,,,Mouse,,,,,,ICR,,"Control (vehicle), F, n = 10
1.23 x 10^6 particles/cm^3 Pb, F, n = 10","Pb oxide nano particles",,,Inhalation,"No, adult only",,,NR,,,"Long-Term (greater than 30 days)",42,"Mice were exposed continuously (24h/d, 7d/wk) for 6 weeks.  Control animals were exposed to the same air as the treated group without the addition of Pb nanoparticles.   The investigators pooled animals from two independent experiments, each with 5 animals per treatment.","6 weeks","11 ng/g for 0 x 10^6 particles/cm^3 Pb, 132 ng/g for 1.23 x 10^6 particles/cm^3 Pb","1.166 ug/dL for 0 x 10^6 particles/cm^3 Pb, 13.992 ug/dL for 1.23 x 10^6 particles/cm^3 Pb",No,"The number of animals used in the spleen histopathology assessment was not reported."
6772460,"Fang, L., Zhao, F., Shen, X., Ouyang, W., Liu, X., Xu, Y., Yu, T., Jin, B., Chen, J., Luo, W.","Pb exposure attenuates hypersensitivity in vivo by increasing regulatory T cells",2012,Lehmann.David@epa.gov,2,"Blood Cytokine Levels","Blood cytokine levels",Yes,,,,,Rat,"Sprague Dawley",,,,,,"Control (vehicle), M, n = 20 
300 ppm Pb, M, n = 20","Pb acetate","Oral, drinking water",,,"No, adult only",,,"23-25 d to 65-67 d",,,"Long-Term (greater than 30 days)",42,"Dosing solutions were changed twice per week.","d 65-67","4.48 ug/dL for 0 ppm, 18.48 ug/dL for 300 ppm - d 65-67",,No,"The investigators only reported qualitative data (i.e., data not shown) and did not indicate the number of animals used in the analysis."
6772460,"Fang, L., Zhao, F., Shen, X., Ouyang, W., Liu, X., Xu, Y., Yu, T., Jin, B., Chen, J., Luo, W.","Pb exposure attenuates hypersensitivity in vivo by increasing regulatory T cells",2012,Lehmann.David@epa.gov,2,"White Blood Cell Counts and Differentials (spleen, thymus, lymph nodes, bone marrow)","Thymus cell counts and differentials",Yes,,,,,Rat,"Sprague Dawley",,,,,,"Control (vehicle), M, n = 20
300 ppm Pb, M, n = 20","Pb acetate","Oral, drinking water",,,"No, adult only",,,"23-25 d to 65-67 d",,,"Long-Term (greater than 30 days)",42,"Dosing solutions were changed twice per week.","d 65-67","4.48 ug/dL for 0 ppm, 18.48 ug/dL for 300 ppm - d 65-67",,No,"As specified in the methods, the exposure and control groups were each composed of 20 animals, but only 8 animals were sacrificed and used in the analysis."
6772460,"Fang, L., Zhao, F., Shen, X., Ouyang, W., Liu, X., Xu, Y., Yu, T., Jin, B., Chen, J., Luo, W.","Pb exposure attenuates hypersensitivity in vivo by increasing regulatory T cells",2012,Lehmann.David@epa.gov,2,"Delayed Type Hypersensitivity Response","Delayed type hypersensitvity",Yes,,,,,Rat,"Sprague Dawley",,,,,,"Control (vehicle), M, n = 20
300 ppm Pb, M, n = 20","Pb acetate","Oral, drinking water",,,"No, adult only",,,"23-25 d to 65-67 d",,,"Long-Term (greater than 30 days)",42,"Dosing solutions were changed twice per week.","d 65-67","4.48 ug/dL for 0 ppm, 18.48 ug/dL for 300 ppm - d 65-67",,No,"As specified in the methods, the exposure and control groups were each composed of 20 animals, but only 8 animals were sacrificed and used in the analysis."
6772460,"Fang, L., Zhao, F., Shen, X., Ouyang, W., Liu, X., Xu, Y., Yu, T., Jin, B., Chen, J., Luo, W.","Pb exposure attenuates hypersensitivity in vivo by increasing regulatory T cells",2012,Lehmann.David@epa.gov,2,"White Blood Cell Counts and Differentials (spleen, thymus, lymph nodes, bone marrow)","Spleen cell counts and differentials",Yes,,,,,Rat,"Sprague Dawley",,,,,,"Control (vehicle), M, n = 20
300 ppm Pb, M, n = 20","Pb acetate","Oral, drinking water",,,"No, adult only",,,"23-25 d to 65-67 d",,,"Long-Term (greater than 30 days)",42,"Dosing solutions were changed twice per week.","d 65-67","4.48 ug/dL for 0 ppm, 18.48 ug/dL for 300 ppm - d 65-67",,No,"As specified in the methods, the exposure and control groups were each composed of 20 animals, but only 8 animals were sacrificed and used in the analysis."
6772460,"Fang, L., Zhao, F., Shen, X., Ouyang, W., Liu, X., Xu, Y., Yu, T., Jin, B., Chen, J., Luo, W.","Pb exposure attenuates hypersensitivity in vivo by increasing regulatory T cells",2012,Lehmann.David@epa.gov,2,"White Blood Cell Counts and Differentials (spleen, thymus, lymph nodes, bone marrow)","Lymph node cell counts and differentials",Yes,,,,,Rat,"Sprague Dawley",,,,,,"Control (vehicle), M, n = 20
300 ppm Pb, M, n = 20","Pb acetate","Oral, drinking water",,,"No, adult only",,,"23-25 d to 65-67 d",,,"Long-Term (greater than 30 days)",42,"Dosing solutions were changed twice per week.","d 65-67","4.48 ug/dL for 0 ppm, 18.48 ug/dL for 300 ppm - d 65-67",,No,"As specified in the methods, the exposure and control groups were each composed of 20 animals, but only 8 animals were sacrificed and used in the analysis."
6772460,"Fang, L., Zhao, F., Shen, X., Ouyang, W., Liu, X., Xu, Y., Yu, T., Jin, B., Chen, J., Luo, W.","Pb exposure attenuates hypersensitivity in vivo by increasing regulatory T cells",2012,Lehmann.David@epa.gov,2,"Ex vivo White Blood Cell Function","Treg cell suppression assay",Yes,,,,,Rat,"Sprague Dawley",,,,,,"Control (vehicle), M, n = 20
300 ppm Pb, M, n = 20","Pb acetate","Oral, drinking water",,,"No, adult only",,,"23-25 d to 65-67 d",,,"Long-Term (greater than 30 days)",42,"Dosing solutions were changed twice per week.","d 65-67","4.48 ug/dL for 0 ppm, 18.48 ug/dL for 300 ppm - d 65-67",,No,"Unlike with all other analyses, the number of animals used in the analysis Treg suppression activity was not reported in the figure legend."
6774942,"Yathapu, S. R., Kondapalli, N. B., Srivalliputturu, S. B., Hemalatha, R., Bharatraj, D. K.","Effect of lead exposure and nutritional iron-deficiency on immune response: A vaccine challenge study in rats",2020,Lehmann.David@epa.gov,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6774942,"Yathapu, S. R., Kondapalli, N. B., Srivalliputturu, S. B., Hemalatha, R., Bharatraj, D. K.","Effect of lead exposure and nutritional iron-deficiency on immune response: A vaccine challenge study in rats",2020,Lehmann.David@epa.gov,2,"Ex vivo White Blood Cell Function","Spleen cell proliferation",Yes,,,,,Rat,"Sprague Dawley",,,,,,"Control (vehicle), M/F, n = 32 (16/16)
500 ppm Pb, M/F, M/F, n = 32 (16/16)","Pb acetate",,"Oral, gavage",,"No, adult only",,,"PND 54 to PND 82","Short-Term (less than or equal to 30 days)",28,,,"Weanling rats (PND 21) were acclimated to the facility for 5  days before being divided into two groups (n = 16) to begin a 28 day long Fe deficiency diet.  After 28 days, the rats were exposed to lead or control diet (n = 16).  At this point (PND 82), blood was collected from rats before immunization with tatanous toxoid (n = 8) followed by two boosters administered in two week intervals.  Vaccine response was evaluated 2 weeks later.","PND 82,  124","2.1 +/-1.0 ug/dL for 0 mg/4mL/kg,   16.1 +/-5.5 ug/dL for 25 mg/4mL/kg - PND 82, Control diet
1.9 +/-0.7 ug/dL for 0 mg/4mL/kg, 41.6 +/-10.2 ug/dL for 25 mg/4mL/kg - PND 82, Iron deficiency diet",,Yes,"No attrition was reported. All animals accounted for in the analysis. BLLs were determined on PND 82 whereas spleenocyte proliferation was assessed on PND 124."
6774942,"Yathapu, S. R., Kondapalli, N. B., Srivalliputturu, S. B., Hemalatha, R., Bharatraj, D. K.","Effect of lead exposure and nutritional iron-deficiency on immune response: A vaccine challenge study in rats",2020,Lehmann.David@epa.gov,2,"Antibody Responses","Vaccine response",Yes,,,,,Rat,"Sprague Dawley",,,,,,"Control (vehicle), M/F, n = 32 (16/16)
500 ppm Pb, M/F, M/F, n = 32 (16/16)","Pb acetate",,"Oral, gavage",,"No, adult only",,,"PND 54 to PND 82","Short-Term (less than or equal to 30 days)",28,,,"Weanling rats (PND 21) were acclimated to the facility for 5  days before being divided into two groups (n = 16) to begin a 28 day long Fe deficiency diet.  After 28 days, the rats were exposed to lead or control diet (n = 16).  At this point (PND 82), blood was collected from rats before immunization with tatanous toxoid (n = 8) followed by two boosters administered in two week intervals.  Vaccine response was evaluated 2 weeks later.","PND 82,  124","2.1 +/-1.0 ug/dL for 0 mg/4mL/kg,   16.1 +/-5.5 ug/dL for 25 mg/4mL/kg - PND 82, Control diet
1.9 +/-0.7 ug/dL for 0 mg/4mL/kg, 41.6 +/-10.2 ug/dL for 25 mg/4mL/kg - PND 82, Iron deficiency diet",,Yes,"No attrition was reported. All animals accounted for in the analysis.  The investigators reported values for total and antigen -specific antibodies. BLLs were determined on PND 82 whereas antibody levels were assessed on PND 124."
6774942,"Yathapu, S. R., Kondapalli, N. B., Srivalliputturu, S. B., Hemalatha, R., Bharatraj, D. K.","Effect of lead exposure and nutritional iron-deficiency on immune response: A vaccine challenge study in rats",2020,Lehmann.David@epa.gov,2,"White Blood Cell Counts and Differentials (spleen, thymus, lymph nodes, bone marrow)","Spleen cell counts and differentials",Yes,,,,,Rat,"Sprague Dawley",,,,,,"Control (vehicle), M/F, n = 32 (16/16)
500 ppm Pb, M/F, M/F, n = 32 (16/16)","Pb acetate",,"Oral, gavage",,"No, adult only",,,"PND 54 to PND 82","Short-Term (less than or equal to 30 days)",28,,,"Weanling rats (PND 21) were acclimated to the facility for 5  days before being divided into two groups (n = 16) to begin a 28 day long Fe deficiency diet.  After 28 days, the rats were exposed to lead or control diet (n = 16).  At this point (PND 82), blood was collected from rats before immunization with tatanous toxoid (n = 8) followed by two boosters administered in two week intervals.  Vaccine response was evaluated 2 weeks later.","PND 82,  124","2.1 +/-1.0 ug/dL for 0 mg/4mL/kg,   16.1 +/-5.5 ug/dL for 25 mg/4mL/kg - PND 82, Control diet
1.9 +/-0.7 ug/dL for 0 mg/4mL/kg, 41.6 +/-10.2 ug/dL for 25 mg/4mL/kg - PND 82, Iron deficiency diet",,Yes,"No attrition was reported. All animals accounted for in the analysis. BLLs were determined on PND 82 whereas spleenocyte proliferation was assessed on PND 124."
6774942,"Yathapu, S. R., Kondapalli, N. B., Srivalliputturu, S. B., Hemalatha, R., Bharatraj, D. K.","Effect of lead exposure and nutritional iron-deficiency on immune response: A vaccine challenge study in rats",2020,Lehmann.David@epa.gov,2,"Antibody Responses","Antigen-specific antibodies",Yes,,,,,Rat,"Sprague Dawley",,,,,,"Control (vehicle), M/F, n = 32 (16/16)
500 ppm Pb, M/F, M/F, n = 32 (16/16)","Pb acetate",,"Oral, gavage",,"No, adult only",,,"PND 54 to PND 82","Short-Term (less than or equal to 30 days)",28,,,"Weanling rats (PND 21) were acclimated to the facility for 5  days before being divided into two groups (n = 16) to begin a 28 day long Fe deficiency diet.  After 28 days, the rats were exposed to lead or control diet (n = 16).  At this point (PND 82), blood was collected from rats before immunization with tatanous toxoid (n = 8) followed by two boosters administered in two week intervals.  Vaccine response was evaluated 2 weeks later.","PND 82,  124","2.1 +/-1.0 ug/dL for 0 mg/4mL/kg,   16.1 +/-5.5 ug/dL for 25 mg/4mL/kg - PND 82, Control diet
1.9 +/-0.7 ug/dL for 0 mg/4mL/kg, 41.6 +/-10.2 ug/dL for 25 mg/4mL/kg - PND 82, Iron deficiency diet",,Yes,"No attrition was reported. All animals accounted for in the analysis. BLLs were determined on PND 82 whereas cytokine production was assessed on PND 124."
6774942,"Yathapu, S. R., Kondapalli, N. B., Srivalliputturu, S. B., Hemalatha, R., Bharatraj, D. K.","Effect of lead exposure and nutritional iron-deficiency on immune response: A vaccine challenge study in rats",2020,Lehmann.David@epa.gov,2,"Immunoglobulin Levels","Immunoglobulin levels",Yes,,,,,Rat,"Sprague Dawley",,,,,,"Control (vehicle), M/F, n = 32 (16/16)
500 ppm Pb, M/F, M/F, n = 32 (16/16)","Pb acetate",,"Oral, gavage",,"No, adult only",,,"PND 54 to PND 82","Short-Term (less than or equal to 30 days)",28,,,"Weanling rats (PND 21) were acclimated to the facility for 5  days before being divided into two groups (n = 16) to begin a 28 day long Fe deficiency diet.  After 28 days, the rats were exposed to lead or control diet (n = 16).  At this point (PND 82), blood was collected from rats before immunization with tatanous toxoid (n = 8) followed by two boosters administered in two week intervals.  Vaccine response was evaluated 2 weeks later.","PND 82,  124","2.1 +/-1.0 ug/dL for 0 mg/4mL/kg,   16.1 +/-5.5 ug/dL for 25 mg/4mL/kg - PND 82, Control diet
1.9 +/-0.7 ug/dL for 0 mg/4mL/kg, 41.6 +/-10.2 ug/dL for 25 mg/4mL/kg - PND 82, Iron deficiency diet",,Yes,"No attrition was reported. All animals accounted for in the analysis. BLLs were determined on PND 82 whereas cytokine production was assessed on PND 124."
