"Refid","Author","Title","Year","User","Level","Subsection Title","Experimental outcome addressed in experiment/assay.","Is the experiment/assay of sufficient quality?","If “No”; Which domain(s) of study quality failed? -> Exposure Assessment or Assignment","If “No”; Which domain(s) of study quality failed? -> Outcome Assessment/Evaluation","If “No”; Which domain(s) of study quality failed? -> Study Design","Rationale for study quality judgement.","Animal Type -> Mouse","Animal Type -> Rat","Rat -> Long-Evans","Rat -> Sprague Dawley","Rat -> Wistar","Rat -> Not Specified","Mouse -> CD1","Mouse -> C57BL/6","Mouse -> ICR","Mouse -> Agouti","Mouse -> Not Specified","Mouse -> CBA/CaJ","Mouse -> Tg-SWDI","Mouse -> Kunming","Groups, Sex, and Number of Animals Reported","Form of Pb","Exposure Route -> Oral, diet","Exposure Route -> Oral, drinking water","Exposure Route -> Oral, gavage","Exposure Route -> Oral, lactation","Exposure Route -> Inhalation","Exposure Route -> In utero","Is this a developmental exposure?","What stage of development was assessed? Select all that apply. -> Preconception","What stage of development was assessed? Select all that apply. -> Prenatal","What stage of development was assessed? Select all that apply. -> Postnatal","What stage of development was assessed? Select all that apply. -> Juvenile/Adolescent","What stage of development was assessed? Select all that apply. -> Continued to Adult","What stage of development was assessed? Select all that apply. -> Multigenerational","Start and end day of exposure","Exposure Duration -> Short-Term (less than or equal to 30 days)","Exposure Duration -> Short-Term (less than or equal to 30 days) (COMMENT)","Exposure Duration -> Long-Term (greater than 30 days)","Exposure Duration -> Long-Term (greater than 30 days) (COMMENT)","Exposure Design Notes","Time of Outcome Assessment
Report day(s) outcome was assessed (e.g., PND 21, 28, 35).","Blood Lead Level - Reported Units","Blood Lead Level- Converted to ug/dL","Does this study involve an at-risk population?","Additional Notes"
4867515,"Gąssowska, M., Baranowska-Bosiacka, I., Moczydłowska, J., Frontczak-Baniewicz, M., Gewartowska, M., Strużyńska, L., Gutowska, I., Chlubek, D., Adamczyk, A.","Perinatal exposure to lead (Pb) induces ultrastructural and molecular alterations in synapses of rat offspring",2016,carlson.laura@epa.gov,2,"Brain Structure and Function",Histopathology,Yes,,,,,,Rat,,,Wistar,,,,,,,,,,"Control (untreated water),  M/F, n = 4 
0.1% solution, M/F, n =  4","Pb acetate",,"Oral, drinking water",,,,,Yes,,Prenatal,Postnatal,,,,"GD 1 to PND 21",,,"Long-Term (greater than 30 days)",42,"Pregnant dams were exposed from GD 1 to PND 21 to PbAc via drinking water. Pups were weaned at PND 21 and received clean drinking water until PND 28, whenever 4 animals were selected for gene expression of synaptic proteins, synaptic protein levels, and ultrastructural histopathology analysis.","PND 28","PND 28                                                                              
0.93 ug/dL for Control
6.86 ug/dL for 0.1% solution","PND 28                                                                              
0.93 ug/dL for Control
6.86 ug/dL for 0.1% solution",Yes,
4876456,"Duan, Y., Peng, L., Shi, H., Jiang, Y.","The effects of lead on GABAergic interneurons in rodents",2017,carlson.laura@epa.gov,2,"Motor Function","Open Field Test",Yes,,,,,Mouse,,,,,,CD1,,,,,,,,"Control (distilled water), M/F, n = 5
27 ppm, M/F, n = 5
109 ppm, M/F, n = 5","Pb (II) Acetate Trihydrate",,,,"Oral, lactation",,,Yes,,,Postnatal,,,,"PND 1 to PND 21","Short-Term (less than or equal to 30 days)",21,,,"Pregnant CD-1 mice (n=9) delivered litters, and animals were allocated to control, 27 ppm, or 109 ppm Pb exposure groups from PND 1 to PND 21. The exact treatment group allocation is unclear, but authors report that 2 animals were randomly selected from each litter for BLL at PND 1, and 5 animals were randomly selected for behavioral testing (open field test, and tail suspension test).","PND 7, 11, 15, 19","PND 21:
16.2 ug/L (1.6 ug/dL) for Control
191.8 ug/L (19.2 ug/dL) for 27 ppm
283.4 ug/L (28.3 ug/dL) for 109 ppm

PND35:
14.3 ug/L (1.4 ug/dL) for Control
283.4 ug/L (28.3 ug/dL) for 27 ppm
376.9 ug/L (37.7 ug/dL) for 109 ppm","PND 21:
1.6 ug/dL for Control
19.2 ug/dL for 27 ppm
28.3 ug/dL for 109 ppm

PND35:
1.4 ug/dL for Control
28.3 ug/dL for 27 ppm
37.7 ug/dL for 109 ppm",Yes,
4876456,"Duan, Y., Peng, L., Shi, H., Jiang, Y.","The effects of lead on GABAergic interneurons in rodents",2017,carlson.laura@epa.gov,2,"Internalizing Behaviors","Tail Suspension Test",Yes,,,,,Mouse,,,,,,CD1,,,,,,,,"Control (distilled water), M/F, n = 5
27 ppm, M/F, n = 5
109 ppm, M/F, n = 5","Pb (II) Acetate Trihydrate",,,,"Oral, lactation",,,Yes,,,Postnatal,,,,"PND 1 to PND 21","Short-Term (less than or equal to 30 days)",21,,,"Pregnant CD-1 mice (n=9) delivered litters, and animals were allocated to control, 27 ppm, or 109 ppm Pb exposure groups from PND 1 to PND 21. The exact treatment group allocation is unclear, but authors report that 2 animals were randomly selected from each litter for BLL at PND 1, and 5 animals were randomly selected for behavioral testing (open field test, and tail suspension test).","PND 7, 11, 15, 19","PND 21:
16.2 ug/L (1.6 ug/dL) for Control
191.8 ug/L (19.2 ug/dL) for 27 ppm
283.4 ug/L (28.3 ug/dL) for 109 ppm

PND35:
14.3 ug/L (1.4 ug/dL) for Control
283.4 ug/L (28.3 ug/dL) for 27 ppm
376.9 ug/L (37.7 ug/dL) for 109 ppm","PND 21:
1.6 ug/dL for Control
19.2 ug/dL for 27 ppm
28.3 ug/dL for 109 ppm

PND35:
1.4 ug/dL for Control
28.3 ug/dL for 27 ppm
37.7 ug/dL for 109 ppm",Yes,
4886909,"Rao Barkur, R., Bairy, L. K.","Comparison of the developmental milestones and preweaning neurobehavioral parameters in rat pups exposed to lead (Pb) during gestation, lactation and pregestation period",2016,Hester.Kirstin@epa.gov,2,"Motor Function","Swimming Performance",Yes,,,,,,Rat,,,Wistar,,,,,,,,,,"Control (tap water), M, n = 12
0.2% solution (PG), M, n = 12
0.2% solution (G), M, n = 12
0.2% solution (L), M, n = 12","Pb acetate",,,,"Oral, lactation",,"In utero",Yes,Preconception,Prenatal,Postnatal,,,,"PG: GD -30 to GD 0 
G: GD 1 to GD 21
L: PND 1 to PND 21","Short-Term (less than or equal to 30 days)",21,"Long-Term (greater than 30 days)",52,"Glacial acetic acid (0.5 mg/L) was added to the Pb solutions to prevent precipitation. It was not added to the water of control animals. 

PG group was exposed for 52 days (30 days pre-gestation + 22 days gestation). G and L groups were exposed for the same amount of days, but during different times. 

Study reported n = 12 for all behavioral studies, however this is indicative of 2 animals/litter.","PND 6, 8, 10, 12","PND 22:
0.19 ug/dL for Control
3.03 ug/dL for PG
5.51 ug/dL for G
26.86 ug/dL for L",,Yes,"This study compared the effects of exposure at three stages of development: pregestation, gestation, and lactation. A gestation and lactation group (GL) was also tested, but resulted in BLLs higher than 30 ug/dL."
4886909,"Rao Barkur, R., Bairy, L. K.","Comparison of the developmental milestones and preweaning neurobehavioral parameters in rat pups exposed to lead (Pb) during gestation, lactation and pregestation period",2016,Hester.Kirstin@epa.gov,2,"Motor Function","Negative Geotaxis",Yes,,,,,,Rat,,,Wistar,,,,,,,,,,"Control (tap water), M, n = 12
0.2% solution (PG), M, n = 12
0.2% solution (G), M, n = 12
0.2% solution (L), M, n = 12","Pb acetate",,,,"Oral, lactation",,"In utero",Yes,Preconception,Prenatal,Postnatal,,,,"PG: GD -30 to GD 0 
G: GD 1 to GD 21
L: PND 1 to PND 21","Short-Term (less than or equal to 30 days)",21,"Long-Term (greater than 30 days)",52,"Glacial acetic acid (0.5 mg/L) was added to the Pb solutions to prevent precipitation. It was not added to the water of control animals.

PG group was exposed for 52 days (30 days pre-gestation + 22 days gestation). G and L groups were exposed for the same amount of days, but during different times. 

Study reported n = 12 for all behavioral studies, however this is indicative of 2 animals/litter.","PND  8, 10, 12","PND 22:
0.19 ug/dL for Control
3.03 ug/dL for PG
5.51 ug/dL for G
26.86 ug/dL for L",,Yes,"This study compared the effects of exposure at three stages of development: pregestation, gestation, and lactation. A gestation and lactation group (GL) was also tested, but resulted in BLLs higher than 30 ug/dL."
4886909,"Rao Barkur, R., Bairy, L. K.","Comparison of the developmental milestones and preweaning neurobehavioral parameters in rat pups exposed to lead (Pb) during gestation, lactation and pregestation period",2016,Hester.Kirstin@epa.gov,2,"Motor Function","Ascending Wire Mesh",Yes,,,,,,Rat,,,Wistar,,,,,,,,,,"Control (tap water), M, n = 12
0.2% solution (PG), M, n = 12
0.2% solution (G), M, n = 12
0.2% solution (L), M, n = 12","Pb acetate",,,,"Oral, lactation",,"In utero",Yes,Preconception,Prenatal,Postnatal,,,,"PG: GD -30 to GD 0 
G: GD 1 to GD 21
L: PND 1 to PND 21","Short-Term (less than or equal to 30 days)",21,"Long-Term (greater than 30 days)",52,"Glacial acetic acid (0.5 mg/L) was added to the Pb solutions to prevent precipitation. It was not added to the water of control animals. 

PG group was exposed for 52 days (30 days pre-gestation + 22 days gestation). G and L groups were exposed for the same amount of days, but during different times. 

Study reported n = 12 for all behavioral studies, however this is indicative of 2 animals/litter.","PND  14-18","PND 22:
0.19 ug/dL for Control
3.03 ug/dL for PG
5.51 ug/dL for G
26.86 ug/dL for L",,Yes,"This study compared the effects of exposure at three stages of development: pregestation, gestation, and lactation. A gestation and lactation group (GL) was also tested, but resulted in BLLs higher than 30 ug/dL."
4886909,"Rao Barkur, R., Bairy, L. K.","Comparison of the developmental milestones and preweaning neurobehavioral parameters in rat pups exposed to lead (Pb) during gestation, lactation and pregestation period",2016,Hester.Kirstin@epa.gov,2,"Motor Function","Surface Righting Reflex",Yes,,,,,,Rat,,,Wistar,,,,,,,,,,"Control (tap water), M, n = 12
0.2% solution (PG), M, n = 12
0.2% solution (G), M, n = 12
0.2% solution (L), M, n = 12","Pb acetate",,,,"Oral, lactation",,"In utero",Yes,Preconception,Prenatal,Postnatal,,,,"PG: GD -30 to GD 0 
G: GD 1 to GD 21
L: PND 1 to PND 21","Short-Term (less than or equal to 30 days)",21,"Long-Term (greater than 30 days)",52,"Glacial acetic acid (0.5 mg/L) was added to the Pb solutions to prevent precipitation. It was not added to the water of the control group. 

PG group was exposed for 52 days (30 days pre-gestation + 22 days gestation). G and L groups were exposed for the same amount of days, but during different times. 

Study reported n = 12 for all behavioral studies, however this is indicative of 2 animals/litter.","PND 3, 4, 5","PND 22:
0.19 ug/dL for Control
3.03 ug/dL for PG
5.51 ug/dL for G
26.86 ug/dL for L",,Yes,"This study compared the effects of exposure at three stages of development: pregestation, gestation, and lactation. A gestation and lactation group (GL) was also tested, but resulted in BLLs higher than 30 ug/dL."
4887748,"Jamesdaniel, S., Rosati, R., Westrick, J., Ruden, D. M.","Chronic lead exposure induces cochlear oxidative stress and potentiates noise-induced hearing loss",2018,Hester.Kirstin@epa.gov,2,"Sensory Organ Function","Auditory Threshold",Yes,,,,,Mouse,,,,,,,C57BL/6,,,,,,,"Control (tap water), M, n = 6
2 mM, M, n = 6","Pb acetate",,"Oral, drinking water",,,,,"No, adult only",,,,,,,"5 wk to 9 wk","Short-Term (less than or equal to 30 days)",28,,,"Two additional groups were tested with similar exposure conditions, with the addition of noise exposure. Animals in noise groups were exposed to 90 dB white noise for 2h/day for two weeks (days 1-14 of Pb exposure). Final BLL in PB + noise group is just above the cutoff: 31.9 ug/dL.","9 wk","9 wk:
10 ug/L (1 ug/dL) for Control
293 ug/L (29.3 ug/dL) for 2 mM","9 wk:
1 ug/dL for Control
29.3 ug/dL for 2 mM",Yes,
4888557,"Li, N., Li, X., Li, L.,i, Zhang, P., Qiao, M., Zhao, Q., Song, L., Yu, Z.","Original Research: The expression of MMP2 and MMP9 in the hippocampus and cerebral cortex of newborn mice under maternal lead exposure",2016,carlson.laura@epa.gov,2,"Cognitive Function","Morris Water Maze",Yes,,,,,Mouse,,,,,,,,,,,,,Kunming,"Control (untreated), M/F, n = 10
0.1% solution (1000 ppm), M/F, n = 10
0.2% solution (2000 ppm), M/F, n = 10
0.5% solution (5000 ppm), M/F, n = 10","Pb acetate",,"Oral, drinking water",,,,,Yes,,Prenatal,Postnatal,,,,"GD 1 to PND 21",,,"Long-Term (greater than 30 days)",42,"40 Kunming pregnant mice (SCXK 2010-0002) were randomly divided unto 4 treatment groups and administered PbAc in drinking water from beginning of pregnancy (assume GD 1) to weaning (PND 21), After birth, 8 pups per litter (M and F) were used for studies. Authors note that a sample size of 10 was used for blood lead measurements and for morris water maze, but the statistical unit and breakdown by litter and sex is unclear.","PND 21, 22, 23, 24, 25, 26","PND 21:
9.8 ug/L (0.98 ug/dL) for Control
42.5 ug/L (4.25 ug/dL) for 1000ppm 
85.3 ug/L (8.53 ug/dL) for 2000ppm
106.4 ug/L (10.64 ug/dL) for 5000 ppm","PND 21:
0.98 ug/dL for Control
4.25 ug/dL for 1000ppm 
8.53 ug/dL for 2000ppm
10.64 ug/dL for 5000 ppm",Yes,
4888559,"Li, N., Qiao, M., Zhang, P., Li, X., Li, L.,i, Yu, Z.","The Effects of Early Life Lead Exposure on the Expression of Glycogen Synthase Kinase-3β and Insulin-like Growth Factor 1 Receptor in the Hippocampus of Mouse Pups",2016,carlson.laura@epa.gov,2,"Brain Structure and Function","Brain Histopathology",Yes,,,,,Mouse,,,,,,,,,,,,,Kunming,"Control
0.1% Pb
0.5 % Pb
1.0% Pb","Pb acetate",,"Oral, drinking water",,,,,Yes,,Prenatal,Postnatal,,,,"GD 0 to PND 21",,,"Long-Term (greater than 30 days)",42,,"PND 21","10 ug/dL for 0 ppm, 40",,No,
4888732,"Li, N., Yang, G., Wang, Y., Qiao, M., Zhang, P., Shao, J., Yang, G.","Decreased IDE and IGF2 expression but increased Aβ40 in the cerebral cortex of mouse pups by early life lead exposure",2016,Anderson.Timothy@epa.gov,2,"Neurodegenerative Diseases","Amyloid protein expression",Yes,,,,,Mouse,,,,,,,,,,,,,Kunming,"Control (distilled water), M/F, n = 10 
0.1% solution (mass fraction), M/F. n = 10
0.2% solution (mass fraction), M/F, n = 10 
0.5% solution (mass fraction), M/F, n = 10","Pb acetate",,,,"Oral, lactation",,"In utero",Yes,,Prenatal,Postnatal,,,,"GD to PND 21",,,"Long-Term (greater than 30 days)",41,,"PND 21","PND 21:
10.62 ug/L (1.1 ug/dL) for Control
40.71 ug/L (4.1 ug/dL) for 0.1% solution
81.77 ug/L (8.2 ug/dL) for 0.2% solution
103.36 ug/L (10.3 ug/dL) for 0.5% solution","PND21:
1.062 ug/L for Control
4.071 ug/L for 0.1% solution
8.177 ug/L for 0.2% solution
10.336 ug/L for 0.5% solution",Yes,"This study examined amyloid protein 40 expression in the cerebral cortex following Pb expression."
4888732,"Li, N., Yang, G., Wang, Y., Qiao, M., Zhang, P., Shao, J., Yang, G.","Decreased IDE and IGF2 expression but increased Aβ40 in the cerebral cortex of mouse pups by early life lead exposure",2016,Anderson.Timothy@epa.gov,2,"Cognitive Function","Morris Water Maze",Yes,,,,,Mouse,,,,,,,,,,,,,Kunming,"Control (distilled water), M/F, n = 10 
0.1% solution (mass fraction), M/F. n = 10
0.2% solution (mass fraction), M/F, n = 10 
0.5% solution (mass fraction), M/F, n = 10","Pb acetate",,,,"Oral, lactation",,"In utero",Yes,,Prenatal,Postnatal,,,,"GD 0 to PND 21",,,"Long-Term (greater than 30 days)",41,,"PND 21","PND 21:
10.62 ug/L (1.1 ug/dL) for Control
40.71 ug/L (4.1 ug/dL) for 0.1% solution
81.77 ug/L (8.2 ug/dL) for 0.2% solution
103.36 ug/L (10.3 ug/dL) for 0.5% solution","PND 21:
1.062 ug/L for Control
4.071 ug/L for 0.1% solution
8.177 ug/L for 0.2% solution
10.336 ug/L for 0.5% solution",Yes,
4888906,"Meng, H., Wang, L.,an, He, J., Wang, Z.","The Protective Effect of Gangliosides on Lead (Pb)-Induced Neurotoxicity Is Mediated by Autophagic Pathways",2016,carlson.laura@epa.gov,2,"Cognitive Function","Morris Water Maze",Yes,,,,,,Rat,,"Sprague Dawley",,,,,,,,,,,"Control (deionized water), M/F, n = 7
300 ppm, M/F, n = 7","Pb acetate",,,,"Oral, lactation",,,Yes,,,Postnatal,,,,"PND 1 to PND 21","Short-Term (less than or equal to 30 days)",21,,,"The exact dosing regimen is inferred ""pregnant females were randomly dividied into 4 groups....which received water with 300 ppm Pb acetate after the birth of pups (day 0). The infant rats in Pb group received lead from milk before their weaning"".",NR,"PND 35:
5.6 ug/L (0.56 ug/dL) for Control
84.84 ug/L (8.48 ug/dL) for 300 ppm","PND 35:
0.56 ug/dL for Control
8.48 ug/dL for 300 ppm",No,"Note that authors also evaluated the impact of ganglioside (GMIX) treatment on recovering Pb induced effects."
4888906,"Meng, H., Wang, L.,an, He, J., Wang, Z.","The Protective Effect of Gangliosides on Lead (Pb)-Induced Neurotoxicity Is Mediated by Autophagic Pathways",2016,Anderson.Timothy@epa.gov,2,"Brain Structure and Function",Histopathology,Yes,,,,,,Rat,,"Sprague Dawley",,,,,,,,,,,"Control (deionized water), M/F, n = 7
300 ppm, M/F, n = 7","Pb acetate",,,,"Oral, lactation",,,Yes,,,Postnatal,,,,"PND 1 to PND 21","Short-Term (less than or equal to 30 days)",21,,,"The exact dosing regimen is inferred ""pregnant females were randomly dividied into 4 groups....which received water with 300 ppm Pb acetate after the birth of pups (day 0). The infant rats in Pb group received lead from milk before their weaning"".",NR,"PND 35:
5.6 ug/L (0.56 ug/dL) for Control
84.84 ug/L (8.48 ug/dL) for 300 ppm","PND 35:
0.56 ug/dL for Control
8.48 ug/dL for 300 ppm",No,"Note that authors also evaluated the impact of ganglioside (GMIX) treatment on recovering Pb induced effects."
4889802,"Amos-Kroohs, R. M., Graham, D. L., Grace, C. E., Braun, A. A., Schaefer, T. L., Skelton, M. R., Vorhees, C. V., Williams, M. T.","Developmental stress and lead (Pb): Effects of maternal separation and/or Pb on corticosterone, monoamines, and blood Pb in rats",2016,Anderson.Timothy@epa.gov,2,"Brain Structure and Function",Neurotransmitter,Yes,,,,,,Rat,,"Sprague Dawley",,,,,,,,,,,"Control (sodium acetate), M/F, n = 16 (8/8) per time point
1 mg/kg Pb, M/F, n = 16 (8/8) per time point
10 mg/kg Pb, M/F, n = 16 (8/8) per time point","Pb acetate",,,"Oral, gavage",,,,Yes,,,Postnatal,Juvenile/Adolescent,,,"PND 4 to PND 28","Short-Term (less than or equal to 30 days)",24,,,"This study used a time course design: Pups were gavaged with Pb every other day from PND 4 to PND 10, PND 18, or PND 28. Animals were sacrificed on PND 29 and tissues were collected.

This study also incorporated multiple rearing conditions and acute stress conditions, which were not extracted here.","PND 29","PND 29:
1.27 ug/dL for Control
2.76 ug/dL for 1 mg/kg 
9.07 ug/dL for 10 mg/kg","PND 29:
1.27 ug/dL for Control
2.76 ug/dL for 1 mg/kg 
9.07 ug/dL for 10 mg/kg",Yes,"Following Pb exposure, this study examined several monoamine concentrations (DA, DOPAC, HVA, NE, 5-HT, 5-HIAA) in the hippocampus, neostriatum, and hypothalamus."
4890181,"Rahman, A., Al-Awadi, A. A., Khan, K. M.","Lead Affects Vitamin D Metabolism in Rats",2018,Anderson.Timothy@epa.gov,2,"Brain Structure and Function","Brain Weight",Yes,,,,,,Rat,,,Wistar,,,,,,,,,,"Control (tap water), M/F, n = 20
0.2% solution, M/F, n = 20","Pb acetate",,"Oral, drinking water",,"Oral, lactation",,,Yes,,,Postnatal,,,,"PND 1 to PND 21","Short-Term (less than or equal to 30 days)",20,,,,"PND 21, 30","PND 21:
2.2 ug/dL for Control
12.4 ug/dL for 0.2% solution

PND 30:
3.3 ug/dL for Control
22.7 ug/dL for 0.2% solution","PND 21:
2.2 ug/dL for Control
12.4 ug/dL for 0.2% solution

PND 30:
3.3 ug/dL for Control
22.7 ug/dL for 0.2% solution",Yes,
4914727,"Baranowska-Bosiacka, I., Falkowska, A., Gutowska, I., Gąssowska, M., Kolasa-Wołosiuk, A., Tarnowski, M., Chibowska, K., Goschorska, M., Lubkowska, A., Chlubek, D.","Glycogen metabolism in brain and neurons - astrocytes metabolic cooperation can be altered by pre- and neonatal lead (Pb) exposure",2017,carlson.laura@epa.gov,2,"Brain Structure and Function",Histopathology,Yes,,,,,,Rat,,,Wistar,,,,,,,,,,"Control (distilled water), M/F, n=8
0.1% solution ,M/F, n=8","Pb acetate",,,,"Oral, lactation",,"In utero",Yes,,Prenatal,Postnatal,,,,"GD 0 to PND 21",,,"Long-Term (greater than 30 days)",42,,"PND 28","PND 28:
0.05 ug/dL for Control
6.90 ug/dL for 0.1% solution",,No,
4914991,"Gąssowska, M., Baranowska-Bosiacka, I., Moczydłowska, J., Tarnowski, M., Pilutin, A., Gutowska, I., Strużyńska, L., Chlubek, D., Adamczyk, A.","Perinatal exposure to lead (Pb) promotes Tau phosphorylation in the rat brain in a GSK-3β and CDK5 dependent manner: Relevance to neurological disorders",2016,Hester.Kirstin@epa.gov,2,"Neurodegenerative Diseases","Tau protein expression and phosphorylation",Yes,,,,,,Rat,,,Wistar,,,,,,,,,,"Control (tap water), M/F, n = 8
0.1% solution, M/F, n = 8","Pb acetate",,,,"Oral, lactation",,"In utero",Yes,,Prenatal,Postnatal,,,,"GD 0 to PND 21",,,"Long-Term (greater than 30 days)",43,"Statistical unit was the individual. Three dams per group. The composition of M/F in each group is not reported, but author's state that the groups were not significantly different.","PND 28","PND 28:
0.93 ug/dL for Control
6.86 ug/dL for 0.1% solution",,Yes,"AD-related endpoints primarily relate to Tau protein expression and phosphorylation."
4915186,"Sobin, C., Flores-Montoya, M. G., Alvarez, J. M.","Early chronic low-level Pb exposure alters global exploratory behaviors but does not impair spatial and object memory retrieval in an object-in-place task in pre-adolescent C57BL/6J mice",2017,Anderson.Timothy@epa.gov,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4922625,"Baranowska-Bosiacka, I., Strużyńska, L., Gutowska, I., Machalińska, A., Kolasa, A., Kłos, P., Czapski, G. A., Kurzawski, M., Prokopowicz, A., Marchlewicz, M., Safranow, K., Machaliński, B., Wiszniewska, B., Chlubek, D.","Perinatal exposure to lead induces morphological, ultrastructural and molecular alterations in the hippocampus",2013,carlson.laura@epa.gov,2,"Brain Structure and Function",Histopathology,Yes,,,,,,Rat,,,Wistar,,,,,,,,,,"Control (distilled water), M/F, n = 36 (17/19)
0.1% solution, M/F, n = 36 (18/18)","Pb acetate",,,,"Oral, lactation",,"In utero",Yes,,Prenatal,Postnatal,,,,"GD 0 to PND 21",,,"Long-Term (greater than 30 days)",42,,"PND 28","PND 28:
0.93 ug/dL for Control
6.86 ug/dL for 0.1% solution","PND 28:
0.93 ug/dL for Control
6.86 ug/dL for 0.1% solution",Yes,
4922739,"Wang, X. M., Liu, W. J., Zhang, R., Zhou, Y. K.","Effects of exposure to low-level lead on spatial learning and memory and the expression of mGluR1, NMDA receptor in different developmental stages of rats",2013,Anderson.Timothy@epa.gov,2,"Cognitive Function","Morris Water Maze",Yes,,,,,,Rat,,"Sprague Dawley",,,,,,,,,,,"Control (untreated), M/F, n = 6
0.2% solution (w/v), M/F, n = 6 - Gestational Exposure
0.2% solution (w/v), M/F, n = 6 - Lactational Exposure
0.2% solution (w/v), M/F, n = 6 - Ablactational Exposure","Pb acetate",,"Oral, drinking water",,"Oral, lactation",,"In utero",Yes,,Prenatal,Postnatal,Juvenile/Adolescent,,,"GD 0 to PND 1, PND 1 to PND 21, PND 21 to 42","Short-Term (less than or equal to 30 days)",20,,,"This study examined the effects of lead exposure during different developmental windows using the same concentration of Pb. 

Control animals were untreated, the gestational expousure group was exposed from GD 0 to PND1, the lactational group was exposed from PND 1 to PND 21, and the ablactation group was exposed from PND 21 to PND 42 via drinking water. 

There were six animals per exposure/developmental window group. The authors do not specify the sex of the offspring assessed.

All animals were sacrificed and tissues were collected on PND 72, 3 days after behavioral assessment.","PND 65 to PND 69","PND 72:
35.99 ug/L (3.49 ug/dL) for Control
35.78 ug/L (3.58 ug/dL)  for 0.2 % solution Gestational
65.97 ug/L (6.60 ug/dL) for 0.2% solution Lactational
110.67 ug/L (11.07 ug/dL) for 0.2% solution Ablactational","PND 72:
3.49 ug/dL for Control
3.58 ug/dL  for 0.2 % solution Gestational
6.60 ug/dL for 0.2% solution Lactational
11.07 ug/dL for 0.2% solution Ablactational",Yes,
4922739,"Wang, X. M., Liu, W. J., Zhang, R., Zhou, Y. K.","Effects of exposure to low-level lead on spatial learning and memory and the expression of mGluR1, NMDA receptor in different developmental stages of rats",2013,Anderson.Timothy@epa.gov,2,"Brain Structure and Function","Brain Weight",Yes,,,,,,Rat,,"Sprague Dawley",,,,,,,,,,,"Control (untreated), M/F, n = 6
0.2% Pb (w/v), M/F, n = 6 - Gestational Exposure
0.2% Pb (w/v), M/F, n = 6 - Lactational Exposure
0.2% Pb (w/v), M/F, n = 6 - Ablactational Exposure","Pb acetate",,"Oral, drinking water",,"Oral, lactation",,"In utero",Yes,,Prenatal,Postnatal,Juvenile/Adolescent,,,"GD 0 to PND 1, PND 1 to PND 21, PND 21 to 42","Short-Term (less than or equal to 30 days)",20,,,"This study examined the effects of lead exposure during different developmental windows using the same concentration of Pb. 

Control animals were untreated, the gestational expousure group was exposed from GD 0 to PND1, the lactational group was exposed from PND 1 to PND 21, and the ablactation group was exposed from PND 21 to PND 42 via drinking water. 

There were six animals per exposure/developmental window group. The authors do not specify the sex of the offspring assessed.

All animals were sacrificed and tissues were collected on PND 72, 3 days after behavioral assessment.","PND 72","PND 72:
35.99 ug/L (3.49 ug/dL) for Control
35.78 ug/L (3.58 ug/dL)  for 0.2 % solution Gestational
65.97 ug/L (6.60 ug/dL) for 0.2% solution Lactational
110.67 ug/L (11.07 ug/dL) for 0.2% solution Ablactational","PND 72:
3.49 ug/dL for Control
3.58 ug/dL for 0.2 % solution Gestational
6.60 ug/dL for 0.2% solution Lactational
11.07 ug/dL for 0.2% solution Ablactational",Yes,
4922740,"Wang, T., Guan, R. L., Liu, M. C., Shen, X. F., Chen, J. Y., Zhao, M. G., Luo, W. J.","Lead Exposure Impairs Hippocampus Related Learning and Memory by Altering Synaptic Plasticity and Morphology During Juvenile Period",2016,Hester.Kirstin@epa.gov,2,"Cognitive Function","Trace Fear Conditioning",Yes,,,,,,Rat,,"Sprague Dawley",,,,,,,,,,,"Control (tap water), M, n = 7
100 ppm, M, n = 9","Pb acetate",,"Oral, drinking water",,,,,Yes,,,,Juvenile/Adolescent,"Continued to Adult",,"PND 24 to PND 56",,,"Long-Term (greater than 30 days)",32,,"PND 60-66","PND 56:
11 ug/L (1.1 ug/dL) for Control
133 ug/L (13.3 ug/dL) for 100 ppm","1.1 ug/dL for Control, 13.3 ug/dL for 100 ppm - PND 56",Yes,"This study conducted two additional experiments aimed to test nociception on the same cohort. No significant results were found between the control and treated groups, indicating that the ""behavioral change [in response to fear conditioning] was independent of basal pain threshold alteration""."
4922740,"Wang, T., Guan, R. L., Liu, M. C., Shen, X. F., Chen, J. Y., Zhao, M. G., Luo, W. J.","Lead Exposure Impairs Hippocampus Related Learning and Memory by Altering Synaptic Plasticity and Morphology During Juvenile Period",2016,Hester.Kirstin@epa.gov,2,"Motor Function","Open Field Test",Yes,,,,,,Rat,,"Sprague Dawley",,,,,,,,,,,"Control (tap water), M, n = 7
100 ppm, M, n = 9","Pb acetate",,"Oral, drinking water",,,,,Yes,,,,Juvenile/Adolescent,"Continued to Adult",,"PND 24 to PND 56",,,"Long-Term (greater than 30 days)",32,,"PND 60-66","PND 56:
11 ug/L (1.1 ug/dL) for Control
133 ug/L (13.3 ug/dL) for 100 ppm","1.1 ug/dL for Control, 13.3 ug/dL for 100 ppm - PND 56",Yes,"Pb exposure significantly reduced the time spent in the center of the arena."
