Refid,Author,Title,Year,User,Level,Subsection Title,Experimental outcome addressed in experiment/assay.,Is the experiment/assay of sufficient quality?,Animal Type -> Rat,Rat -> Sprague Dawley,Rat -> Wistar,"Groups, Sex, and Number of Animals Reported",Form of Pb,"Exposure Route -> Oral, drinking water","Exposure Route -> Oral, lactation",Is this a developmental exposure?,What stage of development was assessed? Select all that apply. -> Prenatal,What stage of development was assessed? Select all that apply. -> Postnatal,What stage of development was assessed? Select all that apply. -> Juvenile/Adolescent,What stage of development was assessed? Select all that apply. -> Continued to Adult,Start and end day of exposure,Exposure Duration -> Short-Term (less than or equal to 30 days),Exposure Duration -> Short-Term (less than or equal to 30 days) (COMMENT),Exposure Duration -> Long-Term (greater than 30 days),Exposure Duration -> Long-Term (greater than 30 days) (COMMENT),Exposure Design Notes,"Time of Outcome Assessment
Report day(s) outcome was assessed (e.g., PND 21, 28, 35).",Blood Lead Level - Reported Units,Blood Lead Level- Converted to ug/dL,Does this study involve an at-risk population?,Additional Notes
3317724,"Wildemann, T. M., Weber, L. P., Siciliano, S. D.","Combined exposure to lead, inorganic mercury and methylmercury shows deviation from additivity for cardiovascular toxicity in rats",2015,stewart.michael@epa.gov,2,"Electrophysiology, Arrhythmia, Cardiac Arrest",PR Interval,Yes,Rat,,Wistar,"Control (tap water) with 0.2% nitic acid, M, n = 6, 357 or 1607 ug/kg BW/d, M, n=5 per group",Pb acetate,"Oral, drinking water",,"No, adult only",,,,,4 wk,Short-Term (less than or equal to 30 days),28,,,"tap water with 0.2% nitic acid, or
 357 or 1607 ug/kg BW/d lead acetate in drinking water for 4 weeks",24 hours after 4 week exposure and last ultrasound,"1.4 +/-1.2 ug/L for tap water with 0.2% nitic acid
17 +/- 7 ug/L for 357 ug/kg BW/d Pb acetate  
85 +/- 29 ug/L for 1607 ug/kg BW/d Pb acetate","0.14 +/-0.12 ug/dL for tap water with 0.2% nitic acid
1.7 +/- 0.7 ug/dL for 357  ug/kg BW/d  acetate   
8.5 +/- 2.9 ug/dL for 1607 ug/kg BW/d Pb acetate",No,
3317724,"Wildemann, T. M., Weber, L. P., Siciliano, S. D.","Combined exposure to lead, inorganic mercury and methylmercury shows deviation from additivity for cardiovascular toxicity in rats",2015,stewart.michael@epa.gov,2,"Electrophysiology, Arrhythmia, Cardiac Arrest",QRS Interval,Yes,Rat,,Wistar,"Control (tap water) with 0.2% nitic acid, M, n = 6, 357 or 1607 ug/kg BW/d, M, n=5 per group",Pb acetate,"Oral, drinking water",,"No, adult only",,,,,4 wk,Short-Term (less than or equal to 30 days),28,,,"tap water with 0.2% nitic acid, or
 357 or 1607 ug/kg BW/d lead acetate in drinking water for 4 weeks",24 hours after 4 week exposure and last ultrasound,"1.4 +/-1.2 ug/L for tap water with 0.2% nitic acid
17 +/- 7 ug/L for 357 ug/kg BW/d Pb acetate  
85 +/- 29 ug/L for 1607 ug/kg BW/d Pb acetate","0.14 +/-0.12 ug/dL for tap water with 0.2% nitic acid
1.7 +/- 0.7 ug/dL for 357  ug/kg BW/d  acetate   
8.5 +/- 2.9 ug/dL for 1607 ug/kg BW/d Pb acetate",No,
3317724,"Wildemann, T. M., Weber, L. P., Siciliano, S. D.","Combined exposure to lead, inorganic mercury and methylmercury shows deviation from additivity for cardiovascular toxicity in rats",2015,stewart.michael@epa.gov,2,"Electrophysiology, Arrhythmia, Cardiac Arrest",QRS Interval,Yes,Rat,,Wistar,"Control (tap water) with 0.2% nitic acid, M, n = 6, 357 or 1607 ug/kg BW/d, M, n=5 per group",Pb acetate,"Oral, drinking water",,"No, adult only",,,,,4 wk,Short-Term (less than or equal to 30 days),28,,,"tap water with 0.2% nitic acid, or
 357 or 1607 ug/kg BW/d lead acetate in drinking water for 4 weeks",24 hours after 4 week exposure and last ultrasound,"1.4 +/-1.2 ug/L for tap water with 0.2% nitic acid
17 +/- 7 ug/L for 357 ug/kg BW/d Pb acetate  
85 +/- 29 ug/L for 1607 ug/kg BW/d Pb acetate","0.14 +/-0.12 ug/dL for tap water with 0.2% nitic acid
1.7 +/- 0.7 ug/dL for 357  ug/kg BW/d  acetate   
8.5 +/- 2.9 ug/dL for 1607 ug/kg BW/d Pb acetate",No,
3441841,"Xu, L., Mu, F. F., Zhao, J. H., He, Q., Cao, C., Yang, H.,ui, Liu, Q.,i, Liu, X., Sun, S.",Lead Induces Apoptosis and Histone Hyperacetylation in Rat Cardiovascular Tissues,2015,stewart.michael@epa.gov,2,Blood Pressure,Diastolic Blood Pressure,Yes,Rat,Sprague Dawley,,"Control 1, M/F, n=6 
 1% PB acetate  group 1, M/F, n=15",Pb acetate,"Oral, drinking water",,"No, adult only",,,,,7 wk old rats exposed for 40 days,Short-Term (less than or equal to 30 days),,Long-Term (greater than 30 days),40,"Control group given distilled water for 40 days
1% Pb acetate groups exposed for 40 days",during 12 or 40 day exposure,"Day 12: 193.3 ug/L
Day 40: 245.9 ug/L","Day 12: 19.33 ug/L
Day 40: 24.59 ug/L",No,**check BP exposure length for 6 rats
3441841,"Xu, L., Mu, F. F., Zhao, J. H., He, Q., Cao, C., Yang, H.,ui, Liu, Q.,i, Liu, X., Sun, S.",Lead Induces Apoptosis and Histone Hyperacetylation in Rat Cardiovascular Tissues,2015,stewart.michael@epa.gov,2,Blood Pressure,Systolic Blood Pressure,Yes,Rat,Sprague Dawley,,"Control 1, M/F, n=6 
 1% PB acetate  group 1, M/F, n=15",Pb acetate,"Oral, drinking water",,"No, adult only",,,,,7 wk old rats exposed for 40 days,Short-Term (less than or equal to 30 days),,Long-Term (greater than 30 days),40,"Control group given distilled water for 40 days
1% Pb acetate groups exposed for 40 days",during 12 or 40 day exposure,Day 12: 193.3 ug/LDay 40: 245.9 ug/L,Day 12: 19.33 ug/LDay 40: 24.59 dg/L,No,**check BP exposure length for 6 rats
3441841,"Xu, L., Mu, F. F., Zhao, J. H., He, Q., Cao, C., Yang, H.,ui, Liu, Q.,i, Liu, X., Sun, S.",Lead Induces Apoptosis and Histone Hyperacetylation in Rat Cardiovascular Tissues,2015,stewart.michael@epa.gov,2,Atherosclerosis,Cardiovascular histology,Yes,Rat,Sprague Dawley,,"Control 1, M/F, n=15 
Control 2, M/F, n=15 
1% PB acetate  group 1, M/F, n=15 
1% PB acetate  group 2, M/F, n=15",Pb acetate,"Oral, drinking water",,"No, adult only",,,,,7 wk old rats exposed for 12 or 40 days,Short-Term (less than or equal to 30 days),12,Long-Term (greater than 30 days),40,Two control groups given distilled water for 12 or 40 daysTwo 1% Pb acetate groups exposed for 12 or 40 days,post 12 and 40 day exposure,"Day 12: 193.3 ug/L
Day 40: 245.9 ug/L",Day 12: 19.33 ug/dLDay 40: 24.59 dg/L,No,
4985191,"Shvachiy, L., Geraldes, V., Amaro-Leal, Â., Rocha, I.","Intermittent low-level lead exposure provokes anxiety, hypertension, autonomic dysfunction and neuroinflammation",2018,stewart.michael@epa.gov,2,Blood Pressure,Diastolic Blood Pressure,Yes,Rat,,Wistar,"Vehicle, M/F, n=8  
0.2% lead acetate, intermittent lead group, M/F, n=9 
0.2% lead acetate, permanent lead group, M/F, n=9",Pb acetate,"Oral, drinking water","Oral, lactation",Yes,Prenatal,Postnatal,Juvenile/Adolescent,,prenatal to 28 wk,Short-Term (less than or equal to 30 days),,,,"Pregnant Wistar rats were given 0.2% Pb acetate in drinking water or tap water.  After a 21 day weaning period, pups were either continuously exposed to lead acetate in drinking water until 28 weeks or were given 8 weeks of lead abstinence and then exposed until 28 weeks with lead acetate",28 weeks,"24.4 +/- 4.9 ug/dl for continuously exposed
18.8 +/- 2.0 ug/dl for intermittent exposure",,Yes,
4985191,"Shvachiy, L., Geraldes, V., Amaro-Leal, Â., Rocha, I.","Intermittent low-level lead exposure provokes anxiety, hypertension, autonomic dysfunction and neuroinflammation",2018,stewart.michael@epa.gov,2,Blood Pressure,Mean Arterial Pressure,Yes,Rat,,Wistar,"Vehicle, M/F, n=8  
0.2% lead acetate, intermittent lead group, M/F, n=9 
0.2% lead acetate, permanent lead group, M/F, n=9",Pb acetate,"Oral, drinking water","Oral, lactation",Yes,Prenatal,Postnatal,Juvenile/Adolescent,,prenatal to 28 wk,Short-Term (less than or equal to 30 days),,,,"Pregnant Wistar rats were given 0.2% Pb acetate in drinking water or tap water.  After a 21 day weaning period, pups were either continuously exposed to lead acetate in drinking water until 28 weeks or were given 8 weeks of lead abstinence and then exposed until 28 weeks with lead acetate",28 weeks,"24.4 +/- 4.9 ug/dl for continuously exposed
18.8 +/- 2.0 ug/dl for intermittent exposure",,Yes,
4985191,"Shvachiy, L., Geraldes, V., Amaro-Leal, Â., Rocha, I.","Intermittent low-level lead exposure provokes anxiety, hypertension, autonomic dysfunction and neuroinflammation",2018,stewart.michael@epa.gov,2,Blood Pressure,Baroreceptor Reflex,Yes,Rat,,Wistar,"Vehicle, M/F, n=8  
0.2% lead acetate, intermittent lead group, M/F, n=9 
0.2% lead acetate, permanent lead group, M/F, n=9",Pb acetate,"Oral, drinking water","Oral, lactation",Yes,Prenatal,Postnatal,Juvenile/Adolescent,,prenatal to 28 wk,Short-Term (less than or equal to 30 days),,,,"Pregnant Wistar rats were given 0.2% Pb acetate in drinking water or tap water.  After a 21 day weaning period, pups were either continuously exposed to lead acetate in drinking water until 28 weeks or were given 8 weeks of lead abstinence and then exposed until 28 weeks with lead acetate",28 weeks,"24.4 +/- 4.9 ug/dl for continuously exposed
18.8 +/- 2.0 ug/dl for intermittent exposure",,Yes,
4985191,"Shvachiy, L., Geraldes, V., Amaro-Leal, Â., Rocha, I.","Intermittent low-level lead exposure provokes anxiety, hypertension, autonomic dysfunction and neuroinflammation",2018,stewart.michael@epa.gov,2,Blood Pressure,Chemoreceptor Reflex,Yes,Rat,,Wistar,"Vehicle, M/F, n=8  
0.2% lead acetate, intermittent lead group, M/F, n=9 
0.2% lead acetate, permanent lead group, M/F, n=9",Pb acetate,"Oral, drinking water","Oral, lactation",Yes,Prenatal,Postnatal,Juvenile/Adolescent,,prenatal to 28 wk,Short-Term (less than or equal to 30 days),,,,"Pregnant Wistar rats were given 0.2% Pb acetate in drinking water or tap water.  After a 21 day weaning period, pups were either continuously exposed to lead acetate in drinking water until 28 weeks or were given 8 weeks of lead abstinence and then exposed until 28 weeks with lead acetate",28 weeks,"24.4 +/- 4.9 ug/dl for continuously exposed
18.8 +/- 2.0 ug/dl for intermittent exposure",,Yes,
